"ID","Language","Subscription.Type","Subscription.Event.Type","Purchase.Store","Purchase.Amount","Currency","Subscription.Start.Date","Subscription.Expiration","Demo.User","Free.Trial.User","Auto.Renew","Country","User.Type","Lead.Platform","Email.Subscriber","Push.Notifications","Send.Count","Open.Count","Click.Count","Unique.Open.Count","Unique.Click.Count","ExchangeRateToUSD","AmountInUSD","US_Canada","Other","Europe","Web.Purchase","App.Purchase","valueCust","OpenSendRatio","IsConsumer","IsOther","IsPOR","IsEBR","IsESP","IsKOR","IsENG","IsDEU","IsFRA","IsGLE","IsALL","IsSVE","IsITA","IsJPN","IsRUS","IsESC","IsFAR","IsGRK","IsARA","IsPOL","IsCHI","IsTUR","IsNED","IsVIE","IsHEB","IsTGL","IsHIN","IsDAR","IsLAT","IsKIS","IsURD","IsIND","IsPAS"
2,"EBR",0,0,"Web",39,"USD","11/28/2019","2/28/2020",0,0,0,"Other","Consumer","Web",0,1,4,3,0,1,0,1,39,0,1,0,1,0,0,0.75,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"ESP",0,0,"Web",0,"USD","12/31/2018","12/31/2019",0,0,0,"US/Canada","Consumer","Web",1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"ESP",0,0,"Web",38.34,"USD","8/23/2019","11/23/2019",1,0,0,"US/Canada","Consumer","App",1,1,162,1,0,1,0,1,38.34,1,0,0,1,0,0,0.00617283950617284,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"ESP",0,0,"Web",79,"USD","7/21/2019","11/11/2019",1,0,0,"Other","Consumer","App",1,1,2,0,0,0,0,1,79,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"DEU",0,0,"Web",38.4,"USD","3/7/2020","6/7/2020",1,0,1,"US/Canada","Consumer","App",1,1,25,17,4,7,2,1,38.4,1,0,0,1,0,1,0.68,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"DEU",0,0,"Web",43.16,"USD","3/3/2020","6/8/2020",0,1,1,"Europe","Consumer","Web",0,1,52,11,0,5,0,1,43.16,0,0,1,1,0,1,0.211538461538462,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"ESP",0,0,"Web",35.97,"USD","10/17/2019","1/21/2020",0,1,0,"US/Canada","Consumer","Web",1,1,94,0,0,0,0,1,35.97,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"GLE",0,0,"Web",10.83,"GBP","3/17/2019","5/17/2020",0,0,1,"Europe","Consumer","Web",0,1,70,70,0,2,0,1.31,14.1873,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"ALL",0,0,"Web",143.76,"USD","3/25/2020","3/25/2022",0,0,1,"US/Canada","Consumer","Web",1,1,174,37,6,28,2,1,143.76,1,0,0,1,0,1,0.21264367816092,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"ALL",1,0,"Web",199,"USD","3/25/2020","1/1/2099",0,1,0,"US/Canada","Consumer","Web",1,1,8,6,3,2,1,1,199,1,0,0,1,0,1,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
